1, 306,121,369
2, 218,288,291
3, 336,55,288
4, 59,259,320
5, 93,362,304
6, 301,303,244
7, 7,45,395
8, 394,120,354
9, 20,250,82
10, 159,305,311
11, 217,14,429
12, 235,146,143
13, 40,333,42
14, 362,281,303
15, 345,61,328
16, 242,350,286
17, 439,84,335
18, 402,14,427
19, 192,441,158
20, 250,309,281
21, 201,112,24
22, 46,270,213
23, 205,148,216
24, 328,375,287
25, 95,85,67
26, 306,419,379
27, 148,338,169
28, 163,350,218
29, 244,48,188
30, 137,380,96
31, 194,433,179
32, 210,133,33
33, 32,133,274
34, 58,244,6
35, 396,100,167
36, 455,45,235
37, 268,111,282
38, 455,36,262
39, 100,284,306
40, 13,333,42
41, 399,280,33
42, 139,40,13
43, 142,381,450
44, 265,136,198
45, 180,7,262
46, 72,22,174
47, 223,82,258
48, 244,188,444
49, 369,467,255
50, 396,14,401
51, 454,309,316
52, 112,130,416
53, 102,123,313
54, 370,101,459
55, 3,65,195
56, 194,127,345
57, 402,106,259
58, 34,185,299
59, 70,87,123
60, 296,86,368
61, 328,15,345
62, 15,287,96
63, 407,394,8
64, 316,381,341
65, 205,380,338
66, 162,462,425
67, 273,154,82
68, 174,213,328
69, 111,362,14
70, 174,372,126
71, 353,311,188
72, 338,46,234
73, 127,123,371
74, 467,326,305
75, 270,166,130
76, 174,166,15
77, 219,344,7
78, 223,411,142
79, 235,175,258
80, 439,84,463
81, 18,386,243
82, 141,154,273
83, 390,196,32
84, 439,17,463
85, 427,27,169
86, 104,321,175
87, 59,379,160
88, 460,418,235
89, 205,256,137
90, 182,184,123
91, 240,131,46
92, 92,54,370
93, 5,309,64
94, 402,435,349
95, 419,372,70
96, 321,365,314
97, 54,370,101
98, 208,260,235
99, 186,198,381
100, 39,35,284
101, 54,370,92
102, 244,134,53
103, 412,129,146
104, 284,86,258
105, 172,143,117
106, 57,259,222
107, 444,337,415
108, 412,381,258
109, 118,166,255
110, 315,14,365
111, 37,297,268
112, 130,321,52
113, 208,127,299
114, 460,170,131
115, 402,18,71
116, 248,96,156
117, 257,143,376
118, 211,369,272
119, 205,305,178
120, 407,8,362
121, 212,105,1
122, 320,3,390
123, 371,127,90
124, 212,189,202
125, 348,463,320
126, 174,70,372
127, 113,194,56
128, 26,291,252
129, 191,46,103
130, 112,52,75
131, 91,430,240
132, 333,340,263
133, 15,463,136
134, 370,435,276
135, 63,46,445
136, 198,133,112
137, 30,380,96
138, 267,359,460
139, 42,394,275
140, 182,126,174
141, 82,136,314
142, 43,450,400
143, 117,376,257
144, 383,236,62
145, 213,174,299
146, 382,12,117
147, 209,8,297
148, 239,205,27
149, 152,231,369
150, 58,467,321
151, 304,394,362
152, 204,149,205
153, 353,71,255
154, 273,82,67
155, 27,338,374
156, 356,148,239
157, 175,412,117
158, 19,15,76
159, 10,357,224
160, 392,360,379
161, 367,197,426
162, 462,395,425
163, 263,333,28
164, 240,381,443
165, 251,61,173
166, 76,258,174
167, 416,285,274
168, 382,120,96
169, 349,427,27
170, 114,291,313
171, 300,290,15
172, 105,434,423
173, 321,314,177
174, 213,70,372
175, 79,157,436
176, 220,347,79
177, 358,277,359
178, 231,119,213
179, 384,23,31
180, 7,45,395
181, 183,213,50
182, 174,372,126
183, 181,396,194
184, 182,378,325
185, 159,224,347
186, 336,338,99
187, 143,439,434
188, 15,133,71
189, 252,230,228
190, 268,321,192
191, 129,218,136
192, 268,444,321
193, 466,207,174
194, 56,127,31
195, 313,340,141
196, 226,427,390
197, 213,174,270
198, 136,421,133
199, 420,221,116
200, 353,153,255
201, 185,21,159
202, 353,444,365
203, 148,277,205
204, 152,345,307
205, 148,23,65
206, 115,134,49
207, 174,193,46
208, 113,46,222
209, 427,250,362
210, 32,451,33
211, 118,162,369
212, 121,33,124
213, 174,197,299
214, 324,46,415
215, 156,18,49
216, 205,148,23
217, 415,333,13
218, 163,28,2
219, 15,287,77
220, 176,347,436
221, 228,429,184
222, 363,401,396
223, 239,256,438
224, 362,281,252
225, 8,229,407
226, 196,36,424
227, 455,36,45
228, 221,141,252
229, 57,115,225
230, 189,104,284
231, 156,178,239
232, 28,350,163
233, 236,458,52
234, 72,46,91
235, 36,45,455
236, 144,233,145
237, 378,248,61
238, 240,91,163
239, 148,223,256
240, 91,164,46
241, 126,70,328
242, 297,263,16
243, 431,270,175
244, 291,48,29
245, 438,310,356
246, 126,238,442
247, 260,323,163
248, 356,116,270
249, 94,457,122
250, 209,268,20
251, 165,173,177
252, 362,14,281
253, 464,38,313
254, 400,450,142
255, 353,403,153
256, 239,223,89
257, 117,143,376
258, 460,418,330
259, 57,106,4
260, 247,323,108
261, 334,288,211
262, 269,45,455
263, 242,297,163
264, 442,205,30
265, 44,292,177
266, 133,461,396
267, 267,359,460
268, 192,37,190
269, 262,302,258
270, 338,148,213
271, 381,180,7
272, 369,440,118
273, 154,82,67
274, 33,416,133
275, 139,362,120
276, 370,97,134
277, 203,177,213
278, 148,270,338
279, 5,311,413
280, 298,436,41
281, 304,362,303
282, 37,263,312
283, 467,295,319
284, 104,39,86
285, 167,34,423
286, 147,16,358
287, 15,113,345
288, 312,2,3
289, 213,466,207
290, 300,332,171
291, 244,224,404
292, 356,328,348
293, 463,440,133
294, 240,91,348
295, 368,283,467
296, 72,363,141
297, 242,111,263
298, 280,452,446
299, 174,213,302
300, 171,290,15
301, 6,292,356
302, 299,213,174
303, 281,362,14
304, 281,5,362
305, 380,197,375
306, 369,26,467
307, 68,213,437
308, 26,306,187
309, 51,454,281
310, 438,245,38
311, 71,10,305
312, 282,288,242
313, 243,431,195
314, 321,361,377
315, 110,427,287
316, 64,51,59
317, 270,10,403
318, 295,283,240
319, 467,382,356
320, 122,390,48
321, 361,314,365
322, 452,120,263
323, 247,260,163
324, 214,415,147
325, 70,184,194
326, 36,398,226
327, 413,462,276
328, 61,15,345
329, 46,302,344
330, 239,148,258
331, 394,268,192
332, 213,174,290
333, 40,13,217
334, 306,467,419
335, 17,439,453
336, 186,3,399
337, 107,433,415
338, 270,72,467
339, 406,395,92
340, 362,195,5
341, 458,217,297
342, 156,338,444
343, 27,427,169
344, 65,207,452
345, 15,328,61
346, 235,115,223
347, 220,176,105
348, 356,292,438
349, 169,402,94
350, 28,57,16
351, 448,359,396
352, 350,357,266
353, 71,153,463
354, 394,8,407
355, 75,253,183
356, 156,148,239
357, 425,462,395
358, 177,359,277
359, 177,48,267
360, 160,57,184
361, 321,314,365
362, 14,120,281
363, 222,296,11
364, 222,307,46
365, 321,314,361
366, 213,174,332
367, 64,223,274
368, 295,208,385
369, 306,118,115
370, 54,459,92
371, 123,127,194
372, 70,174,126
373, 304,429,445
374, 459,92,227
375, 305,65,380
376, 143,117,257
377, 314,321,361
378, 237,184,140
379, 26,87,405
380, 137,30,205
381, 43,450,142
382, 319,146,396
383, 393,144,253
384, 179,290,219
385, 417,467,295
386, 81,120,268
387, 67,92,459
388, 402,57,81
389, 332,207,290
390, 83,196,320
391, 451,240,91
392, 160,430,295
393, 383,196,238
394, 8,354,407
395, 162,406,339
396, 35,314,50
397, 361,133,321
398, 326,36,262
399, 314,321,365
400, 254,450,142
401, 207,396,222
402, 94,148,467
403, 353,464,255
404, 427,169,27
405, 434,61,127
406, 142,339,395
407, 394,120,354
408, 299,248,181
409, 455,36,45
410, 194,389,56
411, 163,228,78
412, 143,406,117
413, 327,279,173
414, 226,311,36
415, 217,333,13
416, 175,227,436
417, 385,11,407
418, 460,258,88
419, 95,362,14
420, 176,199,426
421, 198,91,14
422, 167,436,151
423, 172,287,219
424, 226,258,436
425, 357,162,462
426, 219,207,229
427, 209,169,27
428, 460,418,234
429, 220,434,436
430, 392,131,295
431, 243,313,115
432, 314,240,396
433, 337,50,31
434, 436,429,115
435, 370,134,84
436, 133,220,402
437, 307,50,145
438, 245,223,310
439, 84,17,463
440, 293,148,27
441, 19,270,33
442, 264,119,205
443, 206,67,75
444, 192,465,377
445, 362,14,281
446, 42,298,452
447, 301,238,393
448, 351,359,450
449, 50,305,270
450, 43,254,142
451, 210,391,38
452, 298,457,322
453, 335,17,84
454, 51,309,156
455, 36,38,45
456, 38,180,7
457, 452,281,309
458, 341,419,26
459, 92,54,370
460, 418,258,88
461, 91,266,402
462, 455,162,36
463, 439,84,80
464, 253,403,353